year,team,member1,member2,member3,member4,member5,member6
1997,bulls,michael jordan,scottie pippen,dennis rodman,toni kukoc,luc longley,ron harper
1998,spurs,tim duncan,avery johnson,david robinson,sean elliott,mario elie,
1999,lakers,shaquille oneal,kobe bryant,glen rice,ron harper,ac green,derek fisher
2000,lakers,kobe bryant,shaquille oneal,derek fisher,horace grant,rick fox,ron harper
2001,lakers,kobe bryant,shaquille oneal,rick fox,derek fisher,samaki walker,robert horry
2002,spurs,tim duncan,tony parker,bruce bowen,stephen jackson,david robinson,
2003,pistons,ben wallace,richard hamilton,chauncey billups,tayshaun prince,rasheed wallace,mehmet okur
2004,spurs,tony parker,tim duncan,bruce bowen,manu ginobili,rasho nesterovic,
2005,heat,dwayne wade,jason williams,udonis haslem,shaquille oneal,james posey,gary payton
2006,spurs,tim duncan,tony parker,bruce bowen,manu ginobili,michael finley,brent barry
2007,celtics,ray allen,paul pierce,kevin garnett,rajon rondo,kendrick perkins,
2008,lakers,pau gasol,kobe bryant,derek fisher,lamar odom,andrew bynum,
2009,lakers,kobe bryant,pau gasol,metta world peace,andrew bynum,lamar odom,derek fisher
2010,mavericks,dirk nowitzki,jason kidd,jason terry,shawn marion,tyson chandler,caron butler
2011,heat,lebron james,chris bosh,dwyane wade,mario chalmers,udonis haslem,shane battier
2012,heat,lebron james,dwyane wade,chris bosh,mario chalmers,ray allen,shane battier
2013,spurs,tony parker,tim duncan,kawhi leonard,marco belinelli,boris diaw,danny green
2014,warriors,stephen curry,klay thompson,draymond green,harrison barnes,andre iguodala,andrew bogut
2015,cavaliers,lebron james,kevin love,kyrie irving,jr smith,tristan thompson,timofey mozgov
2016,warriors,klay thompson,stephen curry,kevin durant,draymond green,andre iguodala,
