,Player,Team,Season,cluster,score,zscore,rank,RANK
81,Shaquille O'Neal,Lakers,1996-1997,0,239.734702494,2.61817420025,11.0,1.0
1668,Jayson Williams,Nets,1996-1997,0,92.8540287646,0.608510267225,174.0,5.0
1687,Dikembe Mutombo,"Hawks, Pacers",1996-1997,0,210.26287143,2.21493206889,24.0,2.0
1736,Shawn Bradley,"Nets, Mavericks",1996-1997,0,126.568658306,1.0698035966,102.0,3.0
1922,Olden Polynice,Kings,1996-1997,0,82.7060899461,0.469663228197,200.0,7.0
2581,Gheorghe Muresan,Bullets,1996-1997,0,47.1521855594,-0.0167955924906,299.0,10.0
3263,Luc Longley,Bulls,1996-1997,0,22.2551733858,-0.357443726344,398.0,13.0
3444,Will Perdue,Spurs,1996-1997,0,79.1338389492,0.420786655085,209.0,8.0
4160,Greg Ostertag,Jazz,1996-1997,0,54.3032935991,0.0810479395657,281.0,9.0
4269,Ervin Johnson,Nuggets,1996-1997,0,116.107015914,0.926664374378,127.0,4.0
5046,Theo Ratliff,Pistons,1996-1997,0,44.8930415131,-0.0477058558633,310.0,11.0
5123,Dennis Rodman,Bulls,1996-1997,0,84.1590406451,0.489542920617,195.0,6.0
5446,Felton Spencer,"Magic, Warriors",1996-1997,0,-32.8232383697,-1.1110425136,620.0,18.0
5588,Travis Knight,Lakers,1996-1997,0,22.0220610648,-0.360633236659,400.0,14.0
5925,Eric Montross,"Nets, Mavericks",1996-1997,0,-27.281668428,-1.03522114812,603.0,17.0
6160,Todd Fuller,Warriors,1996-1997,0,-57.4127156745,-1.44748286627,672.0,21.0
6213,Chris Dudley,Trail Blazers,1996-1997,0,-7.9332736867,-0.770490805549,527.0,15.0
6245,Jim McIlvaine,SuperSonics,1996-1997,0,32.8306756837,-0.212746639914,353.0,12.0
6452,Stojko Vrankovic,Timberwolves,1996-1997,0,-44.8177255673,-1.27515456254,649.0,19.0
6499,Mark West,Cavaliers,1996-1997,0,-11.8655459393,-0.824293293788,540.0,16.0
6779,Duane Causwell,Kings,1996-1997,0,-46.3593809213,-1.29624793775,652.0,20.0
6918,Ivano Newbill,Hawks,1996-1997,0,-67.3487021202,-1.58342991153,677.0,22.0
32,Shaquille O'Neal,Lakers,1997-1998,0,234.394983177,2.5451146135,12.0,1.0
340,Tim Duncan,Spurs,1997-1998,0,220.343064217,2.35285218709,18.0,2.0
